id,customer_message,golden_intent,expected_response_type,should_escalate,escalation_reason
1,"My iPhone battery is draining very quickly","battery_issue","troubleshooting",false,"Common battery troubleshooting issue with known resolution patterns"
2,"My iPhone won't turn on","device_not_powering_on","troubleshooting",false,"Standard troubleshooting steps can be provided"
3,"My iPhone screen is completely black","screen_issue","troubleshooting",false,"Common display troubleshooting case"
4,"My iPhone is overheating","device_overheating","troubleshooting",false,"Known troubleshooting guidance exists"
5,"My iPhone is stuck on the Apple logo","boot_issue","troubleshooting",false,"Standard restart and recovery guidance can be provided"
6,"My iPhone keeps restarting by itself","unexpected_restart","troubleshooting",false,"Common software/device troubleshooting issue"
7,"My iPhone is frozen and I cannot use it","device_frozen","troubleshooting",false,"Force restart guidance can be provided"
8,"My iPhone touchscreen is not responding","touchscreen_issue","troubleshooting",false,"Known troubleshooting steps exist"
9,"My iPhone screen is flickering","screen_issue","troubleshooting",false,"Common display troubleshooting case"
10,"My iPhone is getting very hot while charging","device_overheating","troubleshooting",false,"Charging and overheating troubleshooting can be provided"
11,"My iPhone battery percentage is dropping unusually fast","battery_issue","troubleshooting",false,"Known battery troubleshooting case"
12,"My battery health has dropped significantly","battery_health","troubleshooting",false,"Battery health information and guidance can be provided"
13,"My iPhone does not charge","charging_issue","troubleshooting",false,"Standard charging troubleshooting exists"
14,"My iPhone charges very slowly","charging_issue","troubleshooting",false,"Known charging troubleshooting steps exist"
15,"My charging cable is not working with my iPhone","charging_accessory","troubleshooting",false,"Accessory troubleshooting can be provided"
16,"My iPhone says liquid detected in the charging connector","liquid_detection","troubleshooting",false,"Known safety guidance exists"
17,"My iPhone gets hot when I use it","device_overheating","troubleshooting",false,"Common overheating troubleshooting case"
18,"My iPhone suddenly turned off","unexpected_shutdown","troubleshooting",false,"Standard troubleshooting can be provided"
19,"My iPhone will not restart","device_not_powering_on","troubleshooting",false,"Known restart troubleshooting exists"
20,"My iPhone is extremely slow","performance_issue","troubleshooting",false,"Common performance troubleshooting case"
21,"My iPhone storage is full","storage_issue","troubleshooting",false,"Storage management guidance can be provided"
22,"How can I free up storage on my iPhone?","storage_management","how_to",false,"Standard storage management guidance exists"
23,"My iPhone says there is not enough storage","storage_issue","troubleshooting",false,"Known storage troubleshooting case"
24,"My iPhone camera is not working","camera_issue","troubleshooting",false,"Standard camera troubleshooting exists"
25,"My camera is showing a black screen","camera_issue","troubleshooting",false,"Common camera troubleshooting case"
26,"My iPhone camera is blurry","camera_quality","troubleshooting",false,"Known camera troubleshooting steps exist"
27,"The flashlight on my iPhone is not working","flashlight_issue","troubleshooting",false,"Common device troubleshooting case"
28,"Face ID stopped working","face_id_issue","troubleshooting",false,"Known Face ID troubleshooting exists"
29,"Face ID is not recognizing me","face_id_issue","troubleshooting",false,"Standard Face ID troubleshooting can be provided"
30,"I cannot set up Face ID","face_id_issue","troubleshooting",false,"Known setup troubleshooting exists"
31,"My fingerprint is not working","touch_id_issue","troubleshooting",false,"Standard Touch ID troubleshooting exists"
32,"I forgot my iPhone passcode","forgot_passcode","account_or_security",true,"Account/device security issue may require verification"
33,"I entered the wrong passcode too many times","device_locked","account_or_security",true,"Device security state may require additional verification"
34,"My Apple ID is locked","apple_id_locked","account_or_security",true,"Account security issue requires careful handling"
35,"I cannot sign into my Apple ID","apple_id_login","account_or_security",false,"Standard account recovery guidance may help"
36,"I forgot my Apple ID password","password_reset","account_or_security",false,"Standard password reset guidance exists"
37,"How do I reset my Apple ID password?","password_reset","how_to",false,"Known account recovery process exists"
38,"I cannot verify my Apple ID","account_verification","account_or_security",false,"Standard verification troubleshooting exists"
39,"I received a verification code I did not request","suspicious_account_activity","security",true,"Potential unauthorized account activity"
40,"Someone may have accessed my Apple ID","account_security","security",true,"Potential account compromise requires escalation"
41,"I think someone hacked my Apple account","account_security","security",true,"Possible account compromise requires human review"
42,"My Apple ID keeps asking me to sign in","apple_id_login","troubleshooting",false,"Known login troubleshooting exists"
43,"I cannot remember my Apple ID email address","apple_id_recovery","account_or_security",false,"Account recovery guidance can be provided"
44,"How can I change my Apple ID password?","password_change","how_to",false,"Standard account settings guidance exists"
45,"How do I change my Apple ID email?","apple_id_update","how_to",false,"Known account management process exists"
46,"I cannot access my iCloud account","icloud_access","account_or_security",false,"Standard account recovery guidance may help"
47,"My iCloud is not syncing","icloud_sync","troubleshooting",false,"Known sync troubleshooting exists"
48,"My iCloud storage is full","icloud_storage","troubleshooting",false,"Storage management guidance exists"
49,"How do I buy more iCloud storage?","icloud_storage_upgrade","how_to",false,"Standard upgrade process exists"
50,"My photos are not appearing in iCloud","icloud_photos_sync","troubleshooting",false,"Known photo sync troubleshooting exists"
51,"My contacts are not syncing","icloud_contacts_sync","troubleshooting",false,"Known iCloud sync troubleshooting exists"
52,"My notes disappeared from iCloud","icloud_notes_sync","troubleshooting",false,"Sync troubleshooting can be provided"
53,"My iCloud backup failed","icloud_backup","troubleshooting",false,"Known backup troubleshooting exists"
54,"How do I back up my iPhone to iCloud?","icloud_backup","how_to",false,"Standard backup instructions exist"
55,"I cannot restore my iPhone from iCloud backup","icloud_restore","troubleshooting",false,"Known restore troubleshooting exists"
56,"My iCloud backup is taking forever","icloud_backup","troubleshooting",false,"Common backup troubleshooting case"
57,"My photos disappeared after restoring my phone","icloud_photos_sync","troubleshooting",false,"Photo sync troubleshooting can be provided"
58,"My iCloud Drive files are missing","icloud_drive","troubleshooting",false,"Known iCloud Drive troubleshooting exists"
59,"My iPhone is not connecting to Wi-Fi","wifi_issue","troubleshooting",false,"Standard Wi-Fi troubleshooting exists"
60,"Wi-Fi keeps disconnecting on my iPhone","wifi_issue","troubleshooting",false,"Known Wi-Fi troubleshooting exists"
61,"My iPhone cannot find my Wi-Fi network","wifi_issue","troubleshooting",false,"Common network troubleshooting case"
62,"Wi-Fi works on other devices but not my iPhone","wifi_issue","troubleshooting",false,"Device-specific network troubleshooting exists"
63,"My iPhone has no internet connection","network_issue","troubleshooting",false,"Standard network troubleshooting exists"
64,"My mobile data is not working","cellular_data_issue","troubleshooting",false,"Known cellular troubleshooting exists"
65,"My iPhone has no cellular signal","cellular_signal_issue","troubleshooting",false,"Network troubleshooting can be provided"
